perfume,brand,url,img,description,rating,rating_count,gender,perfumers,main_accords,top_notes,heart_notes,base_notes,scent,scent_count,longevity,longevity_count,sillage,sillage_count,bottle,bottle_count,vfm,vfm_count,Type,Animal,Aquatic,Floral,Chypre,Creamy,Earthy,Fougère,Fresh,Fruity,Gourmand,Green,Resinous,Woody,Leathery,Oriental,Powdery,Smoky,Sweet,Synthetic,Spicy,Citrus,Audience,Youthful,Mature,Feminine,Masculine,Season,Spring,Summer,Fall,Winter,Occasion,Evening,Business,Night Out,Leisure,Sport,Daily
Torino22,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/torino22,https://pimages.parfumo.de/240/187656_img-6167-xerjoff-join-the-club-torino22_240.jpg,Torino22 is a popular perfume by XerJoff for women and men and was released in 2022. The scent is sweet-spicy. The longevity is above-average. It is still in production.,,,['unisex'],[''],"['Sweet', 'Spicy', 'Woody', 'Fresh', 'Creamy']","['Saffron', 'Eucalyptus', 'Bergamot']","['Clary sage', 'Maté', 'Gaiac wood']","['Musk', 'Dry woods']",8.2,711,8.3,673,7.9,671,9.1,650,7.1,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Beau Le Parfum,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-beau-le-parfum,https://pimages.parfumo.de/240/160888_img-7369-jean-paul-gaultier-le-beau-le-parfum_240.jpg,Le Beau Le Parfum is a popular perfume by Jean Paul Gaultier for men and was released in 2022. The scent is sweet-fruity. The longevity is above-average. It is being marketed by Puig.  ,,,['male'],['Quentin Bisch'],"['Sweet', 'Fruity', 'Creamy', 'Fresh', 'Synthetic']",[''],[''],"['Coconut', 'Pineapple', 'Ambergris', 'Ginger', 'Iris', 'Sandalwood', 'Tonka bean', 'Cypress', 'Patchouli']",8.1,694,8.1,635,7.8,631,8.9,660,8.0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paradoxe,Prada,https://www.parfumo.com/Perfumes/Prada/paradoxe,https://pimages.parfumo.de/240/180847_img-6981-prada-paradoxe_240.jpg,Paradoxe is a perfume by Prada for women and was released in 2022. The scent is sweet-floral. It is being marketed by L'Oréal.  ,,,['female'],"['Nadège Le Garlantezec', 'Antoine Maisondieu', 'Shyamala Maisondieu']","['Sweet', 'Floral', 'Fruity', 'Synthetic', 'Fresh']","['Pear', 'Tangerine', 'Calabrian bergamot']","['Jasmine sambac absolute', 'Tunisian orange blossom absolute', 'Bitter orange blossom', 'Neroli']","['Ambrofix', 'Bourbon vanilla', 'Serenolide', 'Benzoin Siam']",6.8,661,7.4,567,7.2,566,6.9,537,6.4,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terre d'Hermès Eau Givrée,Hermès,https://www.parfumo.com/Perfumes/Hermes/terre-d-hermes-eau-givree,https://pimages.parfumo.de/240/164275_img-5053-hermes-terre-d-hermes-eau-givree_240.jpg,Terre d'Hermès Eau Givrée is a popular perfume by Hermès for men and was released in 2022. The scent is citrusy-fresh. It is still in production.  ,,,['male'],['Christine Nagel'],"['Citrus', 'Fresh', 'Woody', 'Spicy', 'Green']",[''],[''],"['Citron', 'Juniper berry', 'Nepalese sichuan pepper']",8.3,657,7.1,577,6.8,573,7.9,558,7.4,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gris Charnel  Extrait,bdk Parfums,https://www.parfumo.com/Perfumes/bdk_Parfums/gris-charnel-extrait,https://pimages.parfumo.de/240/166507_img-7932-bdk-parfums-gris-charnel-extrait_240.jpg,Gris Charnel (Extrait) is a popular perfume by bdk Parfums for women and men and was released in 2022. The scent is spicy-woody. Projection and longevity are above-average. It is still in production.  ,,,['unisex'],"['Mathilde Bijaoui', 'Mane']","['Spicy', 'Woody', 'Sweet', 'Creamy', 'Smoky']","['Cardamom', 'Black tea', 'Fig']","['Iris tingitana absolute', 'Bourbon vetiver', 'Cistus']","['Bourbon vanilla absolute', 'Indian sandalwood', 'Indonesian patchouli', 'American cedar', 'Tonka bean absolute']",8.5,638,8.5,583,8.0,579,8.2,549,7.2,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XXI: Art Deco - Blonde Amber,Clive Christian,https://www.parfumo.com/Perfumes/Clive_Christian/xxi-art-deco-blonde-amber,https://pimages.parfumo.de/240/169035_img-6593-clive-christian-noble-xxi-art-deco-blonde-amber_240.jpg,XXI: Art Deco - Blonde Amber is a popular perfume by Clive Christian for women and men and was released in 2022. The scent is sweet-spicy. The longevity is above-average. It is still in production.,,640.0,['unisex'],[''],"['Sweet', 'Spicy', 'Creamy', 'Oriental', 'Floral']",[''],[''],"['Amber', 'Dried fruits', 'Tonka bean', 'Blond tobacco', 'Tuberose', 'Bitter orange', 'Jasmine']",9.0,640,8.3,613,8.0,613,8.9,591,5.3,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paragon,Initio,https://www.parfumo.com/Perfumes/Initio/paragon,https://pimages.parfumo.de/240/185021_img-3749-initio-paragon_240.jpg,Paragon is a popular perfume by Initio for women and men and was released in 2022. The scent is fruity-creamy. The longevity is above-average. It is still in production.,,,['unisex'],[''],"['Fruity', 'Creamy', 'Sweet', 'Woody', 'Spicy']","['White sage', 'Lavender', 'Bergamot']","['Plum', 'Palo Santo', 'Black pepper']","['Sandalwood', 'Oud']",8.1,625,8.1,564,7.6,558,8.6,535,6.7,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Her Musc Noir Rose,Narciso Rodriguez,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/for-her-musc-noir-rose,https://pimages.parfumo.de/240/160288_img-4170-narciso-rodriguez-for-her-musc-noir-rose_240.jpg,For Her Musc Noir Rose is a popular perfume by Narciso Rodriguez for women and was released in 2022. The scent is floral-sweet. It is being marketed by Shiseido Group / Beauté Prestige International.,8.2,623.0,['female'],['Sonia Constant'],"['Floral', 'Sweet', 'Fruity', 'Powdery', 'Creamy']","['Plum', 'Italian bergamot', 'Pink pepper']","['Musk', 'Tuberose', 'Rose']",['Vanilla'],8.2,623,7.4,556,7.1,551,8.2,527,7.7,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armani Code Parfum,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/armani-code-parfum,https://pimages.parfumo.de/240/175387_img-7215-giorgio-armani-armani-code-parfum_240.jpg,Armani Code Parfum is a popular perfume by Giorgio Armani for men and was released in 2022. The scent is sweet-fresh. It is being marketed by L'Oréal.,,,['male'],['Antoine Maisondieu'],"['Sweet', 'Fresh', 'Woody', 'Spicy', 'Synthetic']","['Bergamot leaf', 'Calabrian bergamot']","['Provençal clary sage', 'Moroccan orris butter', 'Iris aldehyde']","['Brazilian tonka bean absolute', 'Virginia cedar']",7.7,568,7.5,508,7.0,506,7.7,485,6.9,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sillage,Kinetic Perfumes,https://www.parfumo.com/Perfumes/kinetic-perfumes/sillage,https://pimages.parfumo.de/240/167850_img-1310-kinetic-perfumes-sillage_240.jpg,Sillage is a popular perfume by Kinetic Perfumes for women and men and was released in 2022. The scent is leathery-fruity. Projection and longevity are above-average. It is still in production.,,,['unisex'],['Christian Carbonnel a.k.a. Chris Maurice'],"['Leathery', 'Fruity', 'Sweet', 'Oriental', 'Woody']","['Violet', 'Oud', 'Saffron']","['Raspberry', 'Jasmine', 'Frankincense']","['Ambergris', 'Benzoin', 'Musk', 'Suede', 'Vanilla']",8.6,555,8.5,522,8.2,520,7.6,481,8.1,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonka Cola,Mancera,https://www.parfumo.com/Perfumes/Mancera/tonka-cola,https://pimages.parfumo.de/240/186612_img-2747-mancera-tonka-cola_240.jpg,Tonka Cola is a popular perfume by Mancera for women and men and was released in 2022. The scent is sweet-spicy. The longevity is above-average. It is still in production.,,,['unisex'],[''],"['Sweet', 'Spicy', 'Gourmand', 'Citrus', 'Fruity']","['Cinnamon', 'Black cherry', 'Sicilian lemon', 'Nutmeg']","['Cola', 'Indonesian patchouli', 'Orange blossom']","['Brazilian tonka bean', 'Benzoin', 'Labdanum', 'Vanilla']",8.0,533,8.1,479,7.8,477,7.7,440,7.6,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724  Eau de Parfum,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/724,https://pimages.parfumo.de/240/181996_img-1600-maison-francis-kurkdjian-724_240.jpg,724 (Eau de Parfum) is a perfume by Maison Francis Kurkdjian for women and men and was released in 2022. The scent is fresh-floral. It is being marketed by LVMH.,,,['unisex'],['Francis Kurkdjian'],"['Fresh', 'Floral', 'Citrus', 'Synthetic', 'Creamy']","['Aldehydes', 'Calabrian bergamot']","['Lily of the valley', 'Egyptian jasminum grandiflorum absolute', 'Sweet pea', 'Freesia', 'Mock-orange']","['White musk', 'Indian sandalwood']",7.3,518,7.1,473,6.7,465,8.1,437,5.9,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Most Wanted Parfum,Azzaro,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-parfum,https://pimages.parfumo.de/240/165475_img-9859-azzaro-the-most-wanted-parfum_240.jpg,The Most Wanted Parfum is a popular perfume by Azzaro for men and was released in 2022. The scent is sweet-spicy. The longevity is above-average. It is being marketed by L'Oréal.,,,['male'],"['Shyamala Maisondieu', 'Roxanne Kirkpatrick']","['Sweet', 'Spicy', 'Woody', 'Gourmand', 'Synthetic']",['Red ginger'],['Woody notes'],['Bourbon vanilla'],8.3,517,8.0,479,7.7,477,8.0,481,8.0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acqua di Giò pour Homme  Eau de Parfum,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/acqua-di-gio-pour-homme-eau-de-parfum,https://pimages.parfumo.de/240/160300_img-8398-giorgio-armani-acqua-di-gio-pour-homme-eau-de-parfum_240.jpg,Acqua di Giò pour Homme (Eau de Parfum) is a popular perfume by Giorgio Armani for men and was released in 2022. The scent is fresh-aquatic. It is being marketed by L'Oréal.,,,['male'],[''],"['Fresh', 'Aquatic', 'Citrus', 'Woody', 'Green']","['Marine notes', 'Italian green mandarin orange']","['Provençal clary sage', 'Madagascan geranium', 'Provençal lavender']","['Haitian vetiver', 'Guatemala patchouly']",7.8,487,7.2,435,6.8,431,7.6,429,7.0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noir Extreme Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-parfum,https://pimages.parfumo.de/240/179917_img-9924-tom-ford-noir-extreme-parfum_240.jpg,Noir Extreme Parfum is a popular perfume by Tom Ford for men and was released in 2022. The scent is spicy-woody. The longevity is above-average. It is being marketed by Estēe Lauder Companies.,,,['male'],['Sonia Constant'],"['Spicy', 'Woody', 'Sweet', 'Oriental', 'Gourmand']","['Indian cardamom Orpur®', 'Kahili ginger']","['Amber', 'Gaiac wood', 'Cedar']","['Venezuelan tonka bean absolute', 'Sandalwood']",8.3,483,8.1,443,7.7,444,7.8,443,7.0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Stars,Louis Vuitton,https://www.parfumo.com/Perfumes/Louis_Vuitton/city-of-stars,https://pimages.parfumo.de/240/167670_img-2443-louis-vuitton-city-of-stars_240.jpg,City of Stars is a popular perfume by Louis Vuitton for women and men and was released in 2022. The scent is citrusy-floral. It is being marketed by LVMH.  ,,,['unisex'],['Jacques Cavallier-Belletrud'],"['Citrus', 'Floral', 'Fresh', 'Creamy', 'Sweet']",[''],[''],"['Tiaré', 'Red mandarin orange', 'Blood orange', 'Bergamot', 'Lime', 'Musk', 'Lemon', 'Sandalwood']",7.7,467,7.2,422,6.9,418,9.1,416,5.8,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God of Fire,Stéphane Humbert Lucas,https://www.parfumo.com/Perfumes/Stephane_Humbert_Lucas/god-of-fire,https://pimages.parfumo.de/240/167116_img-5392-stephane-humbert-lucas-god-of-fire_240.jpg,God of Fire is a popular perfume by Stéphane Humbert Lucas for women and men and was released in 2022. The scent is fruity-sweet. The longevity is above-average. It is still in production.  ,,,['unisex'],['Stéphane Humbert Lucas'],"['Fruity', 'Sweet', 'Fresh', 'Woody', 'Citrus']","['Mango', 'Lemon', 'Ginger', 'Pink pepper']","['Coumarin', 'Jasmine', 'Dry woods']","['Musk', 'Nagarmotha', 'Amber', 'Oud']",8.0,439,8.2,386,7.8,386,8.9,400,6.7,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex  Eau de Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/apex-eau-de-parfum,https://pimages.parfumo.de/240/165208_img-6247-roja-parfums-apex_240.jpg,Apex (Eau de Parfum) is a popular perfume by Roja Parfums for men and was released in 2022. The scent is green-spicy. It is still in production.  ,,,['male'],['Roja Dove'],"['Green', 'Spicy', 'Fresh', 'Woody', 'Citrus']","['Lemon', 'Bergamot', 'Mandarin orange', 'Orange']","['Cistus', 'Pineapple', 'Jasmine']","['Cypress', 'Fir balsam', 'Juniper berry', 'Oakmoss', 'Benzoin', 'Cashmere wood', 'Elemi resin', 'Frankincense', 'Galbanum', 'Labdanum', 'Patchouli', 'Amber', 'Leather', 'Musk', 'Sandalwood', 'Tobacco', 'Ambergris', 'Rum']",7.6,419,7.7,383,7.3,384,8.2,378,5.3,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eternal Oud,Lattafa / لطافة,https://www.parfumo.com/Perfumes/Lattafa/eternal-oud,https://pimages.parfumo.de/240/176497_img-8251-lattafa-eternal-oud_240.jpg,Eternal Oud is a popular perfume by Lattafa / لطافة for women and men and was released in 2022. The scent is sweet-oriental. The longevity is above-average. The production was apparently discontinued.,,,['unisex'],[''],"['Sweet', 'Oriental', 'Spicy', 'Woody', 'Resinous']","['Plum', 'Grapefruit']","['Heliotrope', 'Orchid']","['Amber', 'Benzoin', 'Tonka bean', 'Labdanum', 'Vanilla', 'Oud']",8.0,418,8.1,394,7.8,394,8.7,383,9.0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libre Le Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/libre-le-parfum,https://pimages.parfumo.de/240/181111_img-8997-yves-saint-laurent-libre-le-parfum_240.jpg,Libre Le Parfum is a popular perfume by Yves Saint Laurent for women and was released in 2022. The scent is sweet-floral. Projection and longevity are above-average. It is being marketed by L'Oréal.  ,8.4,406.0,['female'],"['Anne Flipo', 'Carlos Benaïm']","['Sweet', 'Floral', 'Spicy', 'Oriental', 'Creamy']","['Calabrian bergamot', 'Ginger', 'Mandarin orange', 'Moroccan saffron']","['Provençal lavender', 'French lavender', 'Moroccan orange blossom absolute']","['Honey', 'Bourbon vanilla', 'Tonka bean absolute', 'Vetiver']",8.4,406,8.4,376,8.1,374,8.8,369,7.8,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shalimar Millésime Tonka,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/shalimar-millesime-tonka,https://pimages.parfumo.de/240/183299_img-3467-guerlain-shalimar-millesime-tonka_240.jpg,Shalimar Millésime Tonka is a popular limited perfume by Guerlain for women and was released in 2022. The scent is oriental-sweet. The longevity is above-average. It is being marketed by LVMH.   Limited Edition ,8.5,373.0,['female'],"['Thierry Wasser', 'Delphine Jelk']","['Oriental', 'Sweet', 'Powdery', 'Spicy', 'Gourmand']","['Bitter almond', 'Bergamot']","['Iris', 'Jasmine sambac', 'Rose absolute']","['Tonka bean absolute', 'Vanilla']",8.5,373,8.2,338,7.6,334,9.1,331,8.0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan  Eau de Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/manhattan-eau-de-parfum,https://pimages.parfumo.de/240/185571_img-2752-roja-parfums-manhattan-eau-de-parfum_240.jpg,Manhattan (Eau de Parfum) is a popular perfume by Roja Parfums for women and men and was released in 2022. The scent is sweet-spicy. It is still in production.  ,,,['unisex'],['Roja Dove'],"['Sweet', 'Spicy', 'Oriental', 'Woody', 'Floral']","['Basil', 'Lavender', 'Bergamot']","['Coconut', 'Heliotrope', 'Grasse jasmine', 'May rose', 'Violet']","['Clove', 'Cinnamon', 'Tobacco', 'Vanilla', 'Benzoin', 'Musk', 'Pine', 'Pink pepper', 'Cedarwood', 'Ginger', 'Oakmoss', 'Patchouli', 'Vetiver']",8.4,367,7.7,339,7.2,338,9.2,327,6.2,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opus XIV - Royal Tobacco,Amouage,https://www.parfumo.com/Perfumes/Amouage/opus-xiv-royal-tobacco,https://pimages.parfumo.de/240/176923_img-4846-amouage-opus-xiv-royal-tobacco_240.jpg,Opus XIV - Royal Tobacco is a popular perfume by Amouage for women and men and was released in 2022. The scent is smoky-spicy. Projection and longevity are above-average. It is being marketed by Sabco Group / Oman Perfumery.  ,,,['unisex'],['Cécile Zarokian'],"['Smoky', 'Spicy', 'Resinous', 'Oriental', 'Woody']","['Cardamom', 'Frankincense oil', 'Aniseed', 'Elemi resin', 'Basil', 'Bergamot']","['Liquorice root', 'Tobacco absolute', 'Fenugreek', 'Lavender', 'Orange blossom', 'Prunol', 'Bulgarian rose', 'Osmanthus absolute']","['Frankincense', 'Benzoin', 'Gaiac wood', 'Myrrh', 'Tonka bean', 'Assam oud', 'Birch tar', 'Bourbon vanilla', 'Labdanum', 'Musk', 'Peru balsam', 'Vetiver']",8.1,366,9.0,337,8.6,336,9.0,316,6.7,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Mâle Pride Edition,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-pride-edition,https://pimages.parfumo.de/240/169362_img-4953-jean-paul-gaultier-le-male-pride-edition_240.jpg,Le Mâle Pride Edition is a popular limited perfume by Jean Paul Gaultier for women and men and was released in 2022. The scent is fresh-citrusy. It is being marketed by Puig. Limited Edition ,,,['unisex'],"['Nathalie Gracia-Cetto', 'Quentin Bisch']","['Fresh', 'Citrus', 'Fruity', 'Floral', 'Sweet']","['Blood orange', 'Yuzu']","['Orange blossom', 'Neroli']","['Musk', 'Blond woods']",8.0,354,7.6,331,7.2,332,6.7,334,8.0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaultier² (2022),Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/gaultier-2022,https://pimages.parfumo.de/240/172495_img-4513-jean-paul-gaultier-gaultier-2022_240.jpg,Gaultier² (2022) is a popular perfume by Jean Paul Gaultier for women and men and was released in 2022. The scent is sweet-floral. It is being marketed by Puig.  ,,,['unisex'],[''],"['Sweet', 'Floral', 'Creamy', 'Woody', 'Oriental']",[''],[''],"['Vanilla', 'Jasmine', 'Musk', 'Amber', 'Sandalwood']",8.4,345,7.8,311,7.5,314,7.6,307,7.7,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 Million Elixir,Paco Rabanne,https://www.parfumo.com/Perfumes/Paco_Rabanne/1-million-elixir,https://pimages.parfumo.de/240/159733_img-2952-paco-rabanne-1-million-elixir_240.jpg,1 Million Elixir is a popular perfume by Paco Rabanne for men and was released in 2022. The scent is sweet-fruity. Projection and longevity are above-average. It is being marketed by Puig.,,,['male'],"['Christophe Raynaud', 'Quentin Bisch']","['Sweet', 'Fruity', 'Synthetic', 'Spicy', 'Floral']","['Apple', 'Davana']","['Tonka bean', 'Turkish rose', 'Osmanthus']","['Vanilla', 'Davana', 'Cedarwood', 'Patchouli']",7.7,343,8.4,309,8.0,310,7.1,311,7.3,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
